Year,Sport,Discipline,Country,Gender,Event,Medal
1924,Biathlon,Biathlon,FRA,Men,Military Patrol,Bronze
1924,Biathlon,Biathlon,SUI,Men,Military Patrol,Gold
1924,Biathlon,Biathlon,FIN,Men,Military Patrol,Silver
1924,Bobsleigh,Bobsleigh,BEL,Men,Four-Man,Bronze
1924,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Gold
1924,Bobsleigh,Bobsleigh,GBR,Men,Four-Man,Silver
1924,Curling,Curling,FRA,Men,Curling,Bronze
1924,Curling,Curling,GBR,Men,Curling,Gold
1924,Curling,Curling,SWE,Men,Curling,Silver
1924,Ice Hockey,Ice Hockey,GBR,Men,Ice Hockey,Bronze
1924,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Gold
1924,Ice Hockey,Ice Hockey,USA,Men,Ice Hockey,Silver
1924,Skating,Figure skating,SUI,Men,Individual,Bronze
1924,Skating,Figure skating,SWE,Men,Individual,Gold
1924,Skating,Figure skating,AUT,Men,Individual,Silver
1924,Skating,Figure skating,GBR,Women,Individual,Bronze
1924,Skating,Figure skating,AUT,Women,Individual,Gold
1924,Skating,Figure skating,USA,Women,Individual,Silver
1924,Skating,Figure skating,FRA,Women,Pairs,Bronze
1924,Skating,Figure skating,FRA,Men,Pairs,Bronze
1924,Skating,Figure skating,AUT,Men,Pairs,Gold
1924,Skating,Figure skating,AUT,Women,Pairs,Gold
1924,Skating,Figure skating,FIN,Women,Pairs,Silver
1924,Skating,Figure skating,FIN,Men,Pairs,Silver
1924,Skating,Speed skating,NOR,Men,10000M,Bronze
1924,Skating,Speed skating,FIN,Men,10000M,Gold
1924,Skating,Speed skating,FIN,Men,10000M,Silver
1924,Skating,Speed skating,NOR,Men,1500M,Bronze
1924,Skating,Speed skating,FIN,Men,1500M,Gold
1924,Skating,Speed skating,NOR,Men,1500M,Silver
1924,Skating,Speed skating,NOR,Men,5000M,Bronze
1924,Skating,Speed skating,FIN,Men,5000M,Gold
1924,Skating,Speed skating,FIN,Men,5000M,Silver
1924,Skating,Speed skating,FIN,Men,500M,Bronze
1924,Skating,Speed skating,NOR,Men,500M,Bronze
1924,Skating,Speed skating,USA,Men,500M,Gold
1924,Skating,Speed skating,NOR,Men,500M,Silver
1924,Skating,Speed skating,FIN,Men,Combined (4 Events),Bronze
1924,Skating,Speed skating,FIN,Men,Combined (4 Events),Gold
1924,Skating,Speed skating,NOR,Men,Combined (4 Events),Silver
1924,Skiing,Cross Country Skiing,FIN,Men,18KM,Bronze
1924,Skiing,Cross Country Skiing,NOR,Men,18KM,Gold
1924,Skiing,Cross Country Skiing,NOR,Men,18KM,Silver
1924,Skiing,Cross Country Skiing,NOR,Men,50KM,Bronze
1924,Skiing,Cross Country Skiing,NOR,Men,50KM,Gold
1924,Skiing,Cross Country Skiing,NOR,Men,50KM,Silver
1924,Skiing,Nordic Combined,NOR,Men,Individual,Bronze
1924,Skiing,Nordic Combined,NOR,Men,Individual,Gold
1924,Skiing,Nordic Combined,NOR,Men,Individual,Silver
1924,Skiing,Ski Jumping,USA,Men,K90 Individual (70M),Bronze
1924,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Gold
1924,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Silver
1928,Bobsleigh,Bobsleigh,GER,Men,Five-Man,Bronze
1928,Bobsleigh,Bobsleigh,USA,Men,Five-Man,Gold
1928,Bobsleigh,Bobsleigh,USA,Men,Five-Man,Silver
1928,Bobsleigh,Skeleton,GBR,Men,Individual,Bronze
1928,Bobsleigh,Skeleton,USA,Men,Individual,Gold
1928,Bobsleigh,Skeleton,USA,Men,Individual,Silver
1928,Ice Hockey,Ice Hockey,SUI,Men,Ice Hockey,Bronze
1928,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Gold
1928,Ice Hockey,Ice Hockey,SWE,Men,Ice Hockey,Silver
1928,Skating,Figure skating,BEL,Men,Individual,Bronze
1928,Skating,Figure skating,SWE,Men,Individual,Gold
1928,Skating,Figure skating,AUT,Men,Individual,Silver
1928,Skating,Figure skating,USA,Women,Individual,Bronze
1928,Skating,Figure skating,NOR,Women,Individual,Gold
1928,Skating,Figure skating,AUT,Women,Individual,Silver
1928,Skating,Figure skating,AUT,Women,Pairs,Bronze
1928,Skating,Figure skating,AUT,Men,Pairs,Bronze
1928,Skating,Figure skating,FRA,Women,Pairs,Gold
1928,Skating,Figure skating,FRA,Men,Pairs,Gold
1928,Skating,Figure skating,AUT,Men,Pairs,Silver
1928,Skating,Figure skating,AUT,Women,Pairs,Silver
1928,Skating,Speed skating,NOR,Men,1500M,Bronze
1928,Skating,Speed skating,FIN,Men,1500M,Gold
1928,Skating,Speed skating,NOR,Men,1500M,Silver
1928,Skating,Speed skating,NOR,Men,5000M,Bronze
1928,Skating,Speed skating,NOR,Men,5000M,Gold
1928,Skating,Speed skating,FIN,Men,5000M,Silver
1928,Skating,Speed skating,FIN,Men,500M,Bronze
1928,Skating,Speed skating,NOR,Men,500M,Bronze
1928,Skating,Speed skating,USA,Men,500M,Bronze
1928,Skating,Speed skating,FIN,Men,500M,Gold
1928,Skating,Speed skating,NOR,Men,500M,Gold
1928,Skiing,Cross Country Skiing,NOR,Men,18KM,Bronze
1928,Skiing,Cross Country Skiing,NOR,Men,18KM,Gold
1928,Skiing,Cross Country Skiing,NOR,Men,18KM,Silver
1928,Skiing,Cross Country Skiing,SWE,Men,50KM,Bronze
1928,Skiing,Cross Country Skiing,SWE,Men,50KM,Gold
1928,Skiing,Cross Country Skiing,SWE,Men,50KM,Silver
1928,Skiing,Nordic Combined,NOR,Men,Individual,Bronze
1928,Skiing,Nordic Combined,NOR,Men,Individual,Gold
1928,Skiing,Nordic Combined,NOR,Men,Individual,Silver
1928,Skiing,Ski Jumping,TCH,Men,K90 Individual (70M),Bronze
1928,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Gold
1928,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Silver
1932,Bobsleigh,Bobsleigh,GER,Men,Four-Man,Bronze
1932,Bobsleigh,Bobsleigh,USA,Men,Four-Man,Gold
1932,Bobsleigh,Bobsleigh,USA,Men,Four-Man,Silver
1932,Bobsleigh,Bobsleigh,USA,Men,Two-Man,Bronze
1932,Bobsleigh,Bobsleigh,USA,Men,Two-Man,Gold
1932,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Silver
1932,Ice Hockey,Ice Hockey,GER,Men,Ice Hockey,Bronze
1932,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Gold
1932,Ice Hockey,Ice Hockey,USA,Men,Ice Hockey,Silver
1932,Skating,Figure skating,CAN,Men,Individual,Bronze
1932,Skating,Figure skating,AUT,Men,Individual,Gold
1932,Skating,Figure skating,SWE,Men,Individual,Silver
1932,Skating,Figure skating,USA,Women,Individual,Bronze
1932,Skating,Figure skating,NOR,Women,Individual,Gold
1932,Skating,Figure skating,AUT,Women,Individual,Silver
1932,Skating,Figure skating,HUN,Women,Pairs,Bronze
1932,Skating,Figure skating,HUN,Men,Pairs,Bronze
1932,Skating,Figure skating,FRA,Women,Pairs,Gold
1932,Skating,Figure skating,FRA,Men,Pairs,Gold
1932,Skating,Figure skating,USA,Men,Pairs,Silver
1932,Skating,Figure skating,USA,Women,Pairs,Silver
1932,Skating,Speed skating,CAN,Men,10000M,Bronze
1932,Skating,Speed skating,USA,Men,10000M,Gold
1932,Skating,Speed skating,NOR,Men,10000M,Silver
1932,Skating,Speed skating,CAN,Men,1500M,Bronze
1932,Skating,Speed skating,USA,Men,1500M,Gold
1932,Skating,Speed skating,CAN,Men,1500M,Silver
1932,Skating,Speed skating,CAN,Men,5000M,Bronze
1932,Skating,Speed skating,USA,Men,5000M,Gold
1932,Skating,Speed skating,USA,Men,5000M,Silver
1932,Skating,Speed skating,CAN,Men,500M,Bronze
1932,Skating,Speed skating,USA,Men,500M,Gold
1932,Skating,Speed skating,NOR,Men,500M,Silver
1932,Skiing,Cross Country Skiing,FIN,Men,18KM,Bronze
1932,Skiing,Cross Country Skiing,SWE,Men,18KM,Gold
1932,Skiing,Cross Country Skiing,SWE,Men,18KM,Silver
1932,Skiing,Cross Country Skiing,NOR,Men,50KM,Bronze
1932,Skiing,Cross Country Skiing,FIN,Men,50KM,Gold
1932,Skiing,Cross Country Skiing,FIN,Men,50KM,Silver
1932,Skiing,Nordic Combined,NOR,Men,Individual,Bronze
1932,Skiing,Nordic Combined,NOR,Men,Individual,Gold
1932,Skiing,Nordic Combined,NOR,Men,Individual,Silver
1932,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Bronze
1932,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Gold
1932,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Silver
1936,Bobsleigh,Bobsleigh,GBR,Men,Four-Man,Bronze
1936,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Gold
1936,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Silver
1936,Bobsleigh,Bobsleigh,USA,Men,Two-Man,Bronze
1936,Bobsleigh,Bobsleigh,USA,Men,Two-Man,Gold
1936,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Silver
1936,Ice Hockey,Ice Hockey,USA,Men,Ice Hockey,Bronze
1936,Ice Hockey,Ice Hockey,GBR,Men,Ice Hockey,Gold
1936,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Silver
1936,Skating,Figure skating,AUT,Men,Individual,Bronze
1936,Skating,Figure skating,AUT,Men,Individual,Gold
1936,Skating,Figure skating,GER,Men,Individual,Silver
1936,Skating,Figure skating,SWE,Women,Individual,Bronze
1936,Skating,Figure skating,NOR,Women,Individual,Gold
1936,Skating,Figure skating,GBR,Women,Individual,Silver
1936,Skating,Figure skating,HUN,Women,Pairs,Bronze
1936,Skating,Figure skating,HUN,Men,Pairs,Bronze
1936,Skating,Figure skating,GER,Men,Pairs,Gold
1936,Skating,Figure skating,GER,Women,Pairs,Gold
1936,Skating,Figure skating,AUT,Men,Pairs,Silver
1936,Skating,Figure skating,AUT,Women,Pairs,Silver
1936,Skating,Speed skating,AUT,Men,10000M,Bronze
1936,Skating,Speed skating,NOR,Men,10000M,Gold
1936,Skating,Speed skating,FIN,Men,10000M,Silver
1936,Skating,Speed skating,FIN,Men,1500M,Bronze
1936,Skating,Speed skating,NOR,Men,1500M,Gold
1936,Skating,Speed skating,NOR,Men,1500M,Silver
1936,Skating,Speed skating,FIN,Men,5000M,Bronze
1936,Skating,Speed skating,NOR,Men,5000M,Gold
1936,Skating,Speed skating,FIN,Men,5000M,Silver
1936,Skating,Speed skating,USA,Men,500M,Bronze
1936,Skating,Speed skating,NOR,Men,500M,Gold
1936,Skating,Speed skating,NOR,Men,500M,Silver
1936,Skiing,Alpine Skiing,FRA,Men,Alpine Combined,Bronze
1936,Skiing,Alpine Skiing,GER,Men,Alpine Combined,Gold
1936,Skiing,Alpine Skiing,GER,Men,Alpine Combined,Silver
1936,Skiing,Alpine Skiing,NOR,Women,Alpine Combined,Bronze
1936,Skiing,Alpine Skiing,GER,Women,Alpine Combined,Gold
1936,Skiing,Alpine Skiing,GER,Women,Alpine Combined,Silver
1936,Skiing,Cross Country Skiing,FIN,Men,18KM,Bronze
1936,Skiing,Cross Country Skiing,SWE,Men,18KM,Gold
1936,Skiing,Cross Country Skiing,NOR,Men,18KM,Silver
1936,Skiing,Cross Country Skiing,SWE,Men,4X10KM Relay,Bronze
1936,Skiing,Cross Country Skiing,FIN,Men,4X10KM Relay,Gold
1936,Skiing,Cross Country Skiing,NOR,Men,4X10KM Relay,Silver
1936,Skiing,Cross Country Skiing,SWE,Men,50KM,Bronze
1936,Skiing,Cross Country Skiing,SWE,Men,50KM,Gold
1936,Skiing,Cross Country Skiing,SWE,Men,50KM,Silver
1936,Skiing,Nordic Combined,NOR,Men,Individual,Bronze
1936,Skiing,Nordic Combined,NOR,Men,Individual,Gold
1936,Skiing,Nordic Combined,NOR,Men,Individual,Silver
1936,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Bronze
1936,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Gold
1936,Skiing,Ski Jumping,SWE,Men,K90 Individual (70M),Silver
1948,Bobsleigh,Bobsleigh,USA,Men,Four-Man,Bronze
1948,Bobsleigh,Bobsleigh,USA,Men,Four-Man,Gold
1948,Bobsleigh,Bobsleigh,BEL,Men,Four-Man,Silver
1948,Bobsleigh,Bobsleigh,USA,Men,Two-Man,Bronze
1948,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Gold
1948,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Silver
1948,Bobsleigh,Skeleton,GBR,Men,Individual,Bronze
1948,Bobsleigh,Skeleton,ITA,Men,Individual,Gold
1948,Bobsleigh,Skeleton,USA,Men,Individual,Silver
1948,Ice Hockey,Ice Hockey,SUI,Men,Ice Hockey,Bronze
1948,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Gold
1948,Ice Hockey,Ice Hockey,TCH,Men,Ice Hockey,Silver
1948,Skating,Figure skating,AUT,Men,Individual,Bronze
1948,Skating,Figure skating,USA,Men,Individual,Gold
1948,Skating,Figure skating,SUI,Men,Individual,Silver
1948,Skating,Figure skating,GBR,Women,Individual,Bronze
1948,Skating,Figure skating,CAN,Women,Individual,Gold
1948,Skating,Figure skating,AUT,Women,Individual,Silver
1948,Skating,Figure skating,CAN,Men,Pairs,Bronze
1948,Skating,Figure skating,CAN,Women,Pairs,Bronze
1948,Skating,Figure skating,BEL,Men,Pairs,Gold
1948,Skating,Figure skating,BEL,Women,Pairs,Gold
1948,Skating,Figure skating,HUN,Women,Pairs,Silver
1948,Skating,Figure skating,HUN,Men,Pairs,Silver
1948,Skating,Speed skating,FIN,Men,10000M,Bronze
1948,Skating,Speed skating,SWE,Men,10000M,Gold
1948,Skating,Speed skating,FIN,Men,10000M,Silver
1948,Skating,Speed skating,NOR,Men,1500M,Bronze
1948,Skating,Speed skating,NOR,Men,1500M,Gold
1948,Skating,Speed skating,SWE,Men,1500M,Silver
1948,Skating,Speed skating,SWE,Men,5000M,Bronze
1948,Skating,Speed skating,NOR,Men,5000M,Gold
1948,Skating,Speed skating,NOR,Men,5000M,Silver
1948,Skating,Speed skating,NOR,Men,500M,Gold
1948,Skating,Speed skating,NOR,Men,500M,Silver
1948,Skating,Speed skating,USA,Men,500M,Silver
1948,Skiing,Alpine Skiing,FRA,Men,Alpine Combined,Bronze
1948,Skiing,Alpine Skiing,FRA,Men,Alpine Combined,Gold
1948,Skiing,Alpine Skiing,SUI,Men,Alpine Combined,Silver
1948,Skiing,Alpine Skiing,AUT,Women,Alpine Combined,Bronze
1948,Skiing,Alpine Skiing,AUT,Women,Alpine Combined,Gold
1948,Skiing,Alpine Skiing,USA,Women,Alpine Combined,Silver
1948,Skiing,Alpine Skiing,SUI,Men,Downhill,Bronze
1948,Skiing,Alpine Skiing,FRA,Men,Downhill,Gold
1948,Skiing,Alpine Skiing,AUT,Men,Downhill,Silver
1948,Skiing,Alpine Skiing,AUT,Women,Downhill,Bronze
1948,Skiing,Alpine Skiing,SUI,Women,Downhill,Gold
1948,Skiing,Alpine Skiing,AUT,Women,Downhill,Silver
1948,Skiing,Alpine Skiing,FRA,Men,Slalom,Bronze
1948,Skiing,Alpine Skiing,SUI,Men,Slalom,Gold
1948,Skiing,Alpine Skiing,FRA,Men,Slalom,Silver
1948,Skiing,Alpine Skiing,AUT,Women,Slalom,Bronze
1948,Skiing,Alpine Skiing,USA,Women,Slalom,Gold
1948,Skiing,Alpine Skiing,SUI,Women,Slalom,Silver
1948,Skiing,Cross Country Skiing,SWE,Men,18KM,Bronze
1948,Skiing,Cross Country Skiing,SWE,Men,18KM,Gold
1948,Skiing,Cross Country Skiing,SWE,Men,18KM,Silver
1948,Skiing,Cross Country Skiing,NOR,Men,4X10KM Relay,Bronze
1948,Skiing,Cross Country Skiing,SWE,Men,4X10KM Relay,Gold
1948,Skiing,Cross Country Skiing,FIN,Men,4X10KM Relay,Silver
1948,Skiing,Cross Country Skiing,FIN,Men,50KM,Bronze
1948,Skiing,Cross Country Skiing,SWE,Men,50KM,Gold
1948,Skiing,Cross Country Skiing,SWE,Men,50KM,Silver
1948,Skiing,Nordic Combined,SWE,Men,Individual,Bronze
1948,Skiing,Nordic Combined,FIN,Men,Individual,Gold
1948,Skiing,Nordic Combined,FIN,Men,Individual,Silver
1948,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Bronze
1948,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Gold
1948,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Silver
1952,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Bronze
1952,Bobsleigh,Bobsleigh,FRG,Men,Four-Man,Gold
1952,Bobsleigh,Bobsleigh,USA,Men,Four-Man,Silver
1952,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Bronze
1952,Bobsleigh,Bobsleigh,FRG,Men,Two-Man,Gold
1952,Bobsleigh,Bobsleigh,USA,Men,Two-Man,Silver
1952,Ice Hockey,Ice Hockey,SWE,Men,Ice Hockey,Bronze
1952,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Gold
1952,Ice Hockey,Ice Hockey,USA,Men,Ice Hockey,Silver
1952,Skating,Figure skating,USA,Men,Individual,Bronze
1952,Skating,Figure skating,USA,Men,Individual,Gold
1952,Skating,Figure skating,AUT,Men,Individual,Silver
1952,Skating,Figure skating,FRA,Women,Individual,Bronze
1952,Skating,Figure skating,GBR,Women,Individual,Gold
1952,Skating,Figure skating,USA,Women,Individual,Silver
1952,Skating,Figure skating,HUN,Men,Pairs,Bronze
1952,Skating,Figure skating,HUN,Women,Pairs,Bronze
1952,Skating,Figure skating,FRG,Men,Pairs,Gold
1952,Skating,Figure skating,FRG,Women,Pairs,Gold
1952,Skating,Figure skating,USA,Women,Pairs,Silver
1952,Skating,Figure skating,USA,Men,Pairs,Silver
1952,Skating,Speed skating,SWE,Men,10000M,Bronze
1952,Skating,Speed skating,NOR,Men,10000M,Gold
1952,Skating,Speed skating,NED,Men,10000M,Silver
